Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
1,Electronic,9/20/2017,2/2/2018,2/7/2018,10/6/2018,10/10/2018,135,385,241,4
2,BBFF,8/19/2017,5/24/2018,8/13/2018,8/14/2018,9/2/2018,278,379,1,19
3,BBFF,12/4/2017,5/4/2018,10/6/2018,10/10/2018,10/12/2018,151,312,4,2
4,BBFF,10/16/2017,4/23/2018,7/4/2018,7/10/2018,7/10/2018,189,267,6,0
5,BBFF,12/13/2017,7/25/2018,8/30/2018,8/31/2018,9/14/2018,224,275,1,14
6,LifeStyle,1/4/2018,3/21/2018,6/11/2018,9/19/2018,9/20/2018,76,259,100,1
7,BBFF,1/26/2018,3/6/2018,10/1/2018,10/2/2018,10/14/2018,39,261,1,12
8,LifeStyle,11/29/2017,5/10/2018,7/26/2018,7/28/2018,8/4/2018,162,248,2,7
9,BBFF,11/28/2017,4/20/2018,7/23/2018,7/24/2018,8/12/2018,143,257,1,19
10,BBFF,2/2/2018,3/30/2018,3/30/2018,9/27/2018,9/30/2018,56,240,181,3
11,BBFF,10/9/2017,2/6/2018,3/23/2018,5/30/2018,6/2/2018,120,236,68,3
12,LifeStyle,10/12/2017,4/11/2018,4/27/2018,5/30/2018,6/6/2018,181,237,33,7
13,BBFF,1/14/2018,2/6/2018,7/19/2018,8/6/2018,8/6/2018,23,204,18,0
14,BBFF,3/22/2018,3/30/2018,6/12/2018,10/6/2018,10/6/2018,8,198,116,0
15,BBFF,1/30/2018,3/2/2018,8/9/2018,8/11/2018,8/10/2018,31,192,2,-1
16,Electronic,3/28/2018,3/29/2018,4/18/2018,10/7/2018,10/15/2018,1,201,172,8
17,BBFF,4/5/2018,4/27/2018,4/20/2018,10/15/2018,10/16/2018,22,194,178,1
18,BBFF,2/2/2018,3/5/2018,2/27/2018,8/6/2018,8/6/2018,31,185,160,0
19,BBFF,4/16/2018,4/26/2018,10/17/2018,10/17/2018,10/17/2018,10,184,0,0
20,BBFF,4/4/2018,4/18/2018,5/13/2018,10/4/2018,10/7/2018,14,186,144,3
21,LifeStyle,4/16/2018,4/20/2018,10/15/2018,10/15/2018,10/15/2018,4,182,0,0
22,BBFF,2/2/2018,7/30/2018,7/31/2018,8/2/2018,8/5/2018,178,184,2,3
23,BBFF,4/18/2018,5/25/2018,6/11/2018,10/16/2018,10/18/2018,37,183,127,2
24,Electronic,9/24/2017,2/5/2018,3/19/2018,3/22/2018,3/31/2018,134,188,3,9
25,BBFF,3/24/2018,3/28/2018,9/18/2018,9/19/2018,10/12/2018,4,202,1,23
26,BBFF,11/28/2017,5/3/2018,5/23/2018,5/25/2018,7/19/2018,156,233,2,55
27,BBFF,4/17/2018,6/22/2018,10/3/2018,10/12/2018,10/13/2018,66,179,9,1
28,LifeStyle,4/14/2018,4/23/2018,10/2/2018,10/8/2018,10/8/2018,9,177,6,0
29,Electronic,3/22/2018,3/26/2018,4/2/2018,9/13/2018,9/28/2018,4,190,164,15
30,BBFF,4/6/2018,5/11/2018,6/13/2018,9/28/2018,9/28/2018,35,175,107,0
31,BBFF,1/23/2018,2/8/2018,2/22/2018,7/14/2018,7/14/2018,16,172,142,0
32,BBFF,4/11/2018,4/20/2018,8/23/2018,9/28/2018,9/28/2018,9,170,36,0
33,BBFF,1/29/2018,2/8/2018,3/27/2018,7/17/2018,7/29/2018,10,181,112,12
34,LifeStyle,4/19/2018,9/25/2018,9/26/2018,10/4/2018,10/5/2018,159,169,8,1
35,Electronic,4/21/2018,4/27/2018,9/29/2018,10/6/2018,10/5/2018,6,167,7,-1
36,Electronic,4/26/2018,10/3/2018,10/9/2018,10/11/2018,10/18/2018,160,175,2,7
37,BBFF,4/16/2018,7/27/2018,9/22/2018,9/26/2018,9/27/2018,102,164,4,1
38,Digital Service,1/24/2018,4/18/2018,4/18/2018,7/5/2018,7/5/2018,84,162,78,0
39,BBFF,4/20/2018,6/22/2018,5/16/2018,9/29/2018,9/28/2018,63,161,136,-1
40,BBFF,4/26/2018,6/5/2018,8/14/2018,10/4/2018,10/5/2018,40,162,51,1
41,BBFF,5/3/2018,5/25/2018,10/8/2018,10/9/2018,10/13/2018,22,163,1,4
42,BBFF,2/2/2018,3/5/2018,7/4/2018,7/10/2018,7/11/2018,31,159,6,1
43,BBFF,3/24/2018,3/28/2018,5/14/2018,8/27/2018,8/30/2018,4,159,105,3
44,Book,4/10/2018,8/10/2018,9/13/2018,9/13/2018,9/13/2018,122,156,0,0
45,LifeStyle,4/18/2018,9/21/2018,9/13/2018,9/21/2018,10/4/2018,156,169,8,13
46,BBFF,4/13/2018,4/26/2018,8/3/2018,9/15/2018,9/16/2018,13,156,43,1
47,LifeStyle,3/24/2018,4/23/2018,8/9/2018,8/24/2018,9/24/2018,30,184,15,31
48,Digital Service,4/6/2018,7/31/2018,8/28/2018,9/5/2018,10/15/2018,116,192,8,40
49,BBFF,4/9/2018,4/19/2018,8/23/2018,9/8/2018,9/9/2018,10,153,16,1
50,BBFF,2/6/2018,3/16/2018,4/2/2018,7/7/2018,7/9/2018,38,153,96,2
51,BBFF,3/9/2018,3/22/2018,5/23/2018,8/6/2018,8/25/2018,13,169,75,19
52,BBFF,3/23/2018,5/29/2018,7/19/2018,8/20/2018,9/1/2018,67,162,32,12
53,BBFF,12/26/2017,4/26/2018,5/9/2018,5/23/2018,5/29/2018,121,154,14,6
54,BBFF,3/24/2018,3/29/2018,8/18/2018,8/19/2018,8/23/2018,5,152,1,4
55,BBFF,3/29/2018,4/5/2018,7/12/2018,8/24/2018,8/26/2018,7,150,43,2
56,BBFF,4/6/2018,5/7/2018,8/29/2018,9/1/2018,9/5/2018,31,152,3,4
57,BBFF,4/19/2018,8/21/2018,8/31/2018,9/14/2018,10/5/2018,124,169,14,21
58,Digital Service,3/23/2018,8/9/2018,4/2/2018,8/16/2018,10/10/2018,139,201,136,55
59,BBFF,3/23/2018,3/29/2018,4/13/2018,8/16/2018,8/19/2018,6,149,125,3
60,LifeStyle,4/26/2018,4/27/2018,6/13/2018,9/19/2018,10/9/2018,1,166,98,20
61,BBFF,1/23/2018,2/6/2018,5/29/2018,6/17/2018,6/19/2018,14,147,19,2
62,LifeStyle,3/23/2018,3/28/2018,5/16/2018,8/15/2018,8/15/2018,5,145,91,0
63,LifeStyle,4/27/2018,4/27/2018,6/18/2018,9/18/2018,9/19/2018,0,145,92,1
64,BBFF,5/20/2018,6/8/2018,10/8/2018,10/11/2018,10/17/2018,19,150,3,6
65,BBFF,3/28/2018,3/30/2018,5/3/2018,8/18/2018,8/18/2018,2,143,107,0
66,Electronic,4/6/2018,7/19/2018,7/27/2018,8/27/2018,8/28/2018,104,144,31,1
67,LifeStyle,4/28/2018,6/18/2018,7/6/2018,9/18/2018,9/18/2018,51,143,74,0
68,BBFF,5/9/2018,7/3/2018,7/9/2018,9/29/2018,9/29/2018,55,143,82,0
69,LifeStyle,3/5/2018,4/18/2018,3/19/2018,7/25/2018,7/24/2018,44,141,128,-1
70,LifeStyle,4/9/2018,4/26/2018,8/2/2018,8/28/2018,8/29/2018,17,142,26,1
71,BBFF,4/26/2018,8/20/2018,9/11/2018,9/14/2018,10/10/2018,116,167,3,26
72,LifeStyle,3/28/2018,7/28/2018,8/8/2018,8/15/2018,9/8/2018,122,164,7,24
73,BBFF,4/20/2018,4/23/2018,9/4/2018,9/7/2018,9/6/2018,3,139,3,-1
74,BBFF,4/6/2018,4/23/2018,8/21/2018,8/23/2018,8/28/2018,17,144,2,5
75,Electronic,1/26/2018,5/21/2018,6/11/2018,6/12/2018,8/3/2018,115,189,1,52
76,BBFF,1/24/2018,2/6/2018,3/12/2018,6/9/2018,6/11/2018,13,138,89,2
77,BBFF,3/23/2018,3/28/2018,7/26/2018,8/6/2018,8/30/2018,5,160,11,24
78,LifeStyle,4/11/2018,8/15/2018,8/16/2018,8/25/2018,8/29/2018,126,140,9,4
79,LifeStyle,5/16/2018,9/26/2018,9/26/2018,9/27/2018,9/27/2018,133,134,1,0
80,BBFF,5/23/2018,9/21/2018,9/24/2018,10/4/2018,10/7/2018,121,137,10,3
81,Digital Service,1/10/2018,5/22/2018,5/22/2018,5/23/2018,5/29/2018,132,139,1,6
82,Electronic,4/9/2018,5/23/2018,8/13/2018,8/20/2018,8/22/2018,44,135,7,2
83,Electronic,4/20/2018,7/24/2018,8/29/2018,8/30/2018,9/8/2018,95,141,1,9
84,Electronic,4/11/2018,5/23/2018,8/9/2018,8/20/2018,8/20/2018,42,131,11,0
85,Electronic,4/23/2018,4/24/2018,6/16/2018,9/1/2018,9/3/2018,1,133,77,2
86,BBFF,1/30/2018,3/14/2018,3/26/2018,6/9/2018,6/11/2018,43,132,75,2
87,Electronic,5/25/2018,5/29/2018,10/2/2018,10/2/2018,10/11/2018,4,139,0,9
88,BBFF,4/16/2018,8/21/2018,8/22/2018,8/23/2018,9/26/2018,127,163,1,34
89,BBFF,1/14/2018,4/20/2018,5/2/2018,5/22/2018,5/24/2018,96,130,20,2
90,BBFF,5/5/2018,6/22/2018,9/8/2018,9/10/2018,9/20/2018,48,138,2,10
91,Digital Service,4/5/2018,7/31/2018,8/6/2018,8/10/2018,9/7/2018,117,155,4,28
92,LifeStyle,1/24/2018,3/6/2018,4/4/2018,5/30/2018,6/3/2018,41,130,56,4
93,BBFF,6/5/2018,8/29/2018,10/9/2018,10/9/2018,10/11/2018,85,128,0,2
94,LifeStyle,6/7/2018,7/17/2018,10/11/2018,10/11/2018,10/17/2018,40,132,0,6
95,Electronic,6/7/2018,6/11/2018,10/8/2018,10/11/2018,10/17/2018,4,132,3,6
96,BBFF,2/2/2018,3/13/2018,6/6/2018,6/7/2018,6/10/2018,39,128,1,3
97,Electronic,3/24/2018,3/28/2018,7/24/2018,7/27/2018,7/26/2018,4,124,3,-1
98,LifeStyle,4/23/2018,8/17/2018,8/21/2018,8/25/2018,8/26/2018,116,125,4,1
99,BBFF,5/10/2018,5/25/2018,9/7/2018,9/11/2018,9/11/2018,15,124,4,0
100,Book,5/18/2018,9/24/2018,8/28/2018,9/19/2018,10/1/2018,129,136,22,12
101,LifeStyle,5/24/2018,5/25/2018,5/26/2018,9/25/2018,9/25/2018,1,124,122,0
102,Electronic,4/27/2018,7/11/2018,5/3/2018,8/28/2018,9/28/2018,75,154,117,31
103,BBFF,5/11/2018,5/15/2018,9/10/2018,9/11/2018,9/12/2018,4,124,1,1
104,BBFF,4/3/2018,4/19/2018,8/2/2018,8/3/2018,8/7/2018,16,126,1,4
105,Book,1/29/2018,4/9/2018,4/20/2018,5/30/2018,5/31/2018,70,122,40,1
106,BBFF,3/29/2018,3/30/2018,4/23/2018,7/28/2018,8/4/2018,1,128,96,7
107,Electronic,3/23/2018,3/29/2018,5/11/2018,7/21/2018,7/24/2018,6,123,71,3
108,BBFF,5/9/2018,8/14/2018,5/11/2018,9/6/2018,9/15/2018,97,129,118,9
109,LifeStyle,6/8/2018,6/25/2018,10/6/2018,10/6/2018,10/13/2018,17,127,0,7
110,Digital Service,3/27/2018,7/20/2018,6/12/2018,7/24/2018,8/16/2018,115,142,42,23
111,Electronic,4/23/2018,6/18/2018,7/4/2018,8/20/2018,8/26/2018,56,125,47,6
112,LifeStyle,5/10/2018,8/9/2018,8/9/2018,9/6/2018,9/15/2018,91,128,28,9
113,BBFF,5/10/2018,6/27/2018,8/8/2018,9/6/2018,9/17/2018,48,130,29,11
114,BBFF,6/5/2018,9/19/2018,8/24/2018,10/2/2018,10/14/2018,106,131,39,12
115,BBFF,3/9/2018,4/18/2018,7/4/2018,7/5/2018,7/6/2018,40,119,1,1
116,LifeStyle,4/21/2018,7/23/2018,8/16/2018,8/17/2018,8/20/2018,93,121,1,3
117,BBFF,2/1/2018,3/7/2018,5/21/2018,5/29/2018,6/3/2018,34,122,8,5
118,BBFF,3/19/2018,4/23/2018,7/12/2018,7/14/2018,7/15/2018,35,118,2,1
119,BBFF,3/29/2018,6/15/2018,7/5/2018,7/24/2018,7/24/2018,78,117,19,0
120,BBFF,5/3/2018,5/7/2018,6/29/2018,8/28/2018,8/29/2018,4,118,60,1
121,Electronic,6/13/2018,8/24/2018,10/4/2018,10/8/2018,10/15/2018,72,124,4,7
122,BBFF,6/21/2018,7/6/2018,7/5/2018,10/16/2018,10/16/2018,15,117,103,0
123,LifeStyle,1/9/2018,2/23/2018,5/3/2018,5/5/2018,5/5/2018,45,116,2,0
124,LifeStyle,5/5/2018,5/9/2018,8/28/2018,8/29/2018,8/28/2018,4,115,1,-1
125,BBFF,5/15/2018,5/17/2018,9/7/2018,9/8/2018,9/12/2018,2,120,1,4
126,BBFF,5/17/2018,6/28/2018,8/13/2018,9/10/2018,9/19/2018,42,125,28,9
127,Book,4/13/2018,7/24/2018,7/25/2018,8/6/2018,8/6/2018,102,115,12,0
128,LifeStyle,4/24/2018,5/24/2018,7/18/2018,8/17/2018,8/24/2018,30,122,30,7
129,BBFF,5/18/2018,5/23/2018,9/6/2018,9/10/2018,9/20/2018,5,125,4,10
130,BBFF,2/5/2018,4/18/2018,5/25/2018,5/30/2018,6/14/2018,72,129,5,15
131,BBFF,4/25/2018,8/14/2018,4/28/2018,8/17/2018,8/22/2018,111,119,111,5
132,BBFF,5/15/2018,8/27/2018,9/5/2018,9/6/2018,10/9/2018,104,147,1,33
133,Book,2/6/2018,3/5/2018,4/6/2018,5/30/2018,6/12/2018,27,126,54,13
134,BBFF,5/28/2018,8/29/2018,9/17/2018,9/18/2018,9/20/2018,93,115,1,2
135,BBFF,5/9/2018,7/31/2018,5/18/2018,8/29/2018,9/5/2018,83,119,103,7
136,BBFF,5/3/2018,5/17/2018,6/4/2018,8/22/2018,8/23/2018,14,112,79,1
137,Electronic,5/5/2018,5/14/2018,8/20/2018,8/24/2018,8/28/2018,9,115,4,4
138,LifeStyle,6/6/2018,7/23/2018,9/22/2018,9/25/2018,9/27/2018,47,113,3,2
139,BBFF,6/15/2018,6/28/2018,9/25/2018,10/4/2018,10/5/2018,13,112,9,1
140,LifeStyle,2/5/2018,2/23/2018,2/10/2018,5/26/2018,5/27/2018,18,111,105,1
141,BBFF,4/3/2018,4/19/2018,4/10/2018,7/22/2018,7/24/2018,16,112,103,2
142,BBFF,6/20/2018,7/6/2018,7/18/2018,10/8/2018,10/10/2018,16,112,82,2
143,LifeStyle,6/21/2018,6/25/2018,8/1/2018,10/9/2018,10/9/2018,4,110,69,0
144,BBFF,3/5/2018,4/9/2018,4/27/2018,6/22/2018,6/26/2018,35,113,56,4
145,LifeStyle,4/11/2018,4/25/2018,7/24/2018,7/29/2018,8/9/2018,14,120,5,11
146,LifeStyle,3/23/2018,3/28/2018,6/22/2018,7/9/2018,8/5/2018,5,135,17,27
147,BBFF,4/22/2018,4/27/2018,8/7/2018,8/8/2018,9/4/2018,5,135,1,27
148,BBFF,5/28/2018,8/31/2018,8/31/2018,9/12/2018,9/20/2018,95,115,12,8
149,LifeStyle,5/2/2018,7/25/2018,5/10/2018,8/16/2018,9/23/2018,84,144,98,38
150,BBFF,3/6/2018,4/13/2018,6/17/2018,6/19/2018,7/16/2018,38,132,2,27
151,BBFF,3/24/2018,3/28/2018,4/10/2018,7/6/2018,7/6/2018,4,104,87,0
152,Electronic,4/9/2018,4/23/2018,7/17/2018,7/22/2018,7/22/2018,14,104,5,0
153,LifeStyle,2/1/2018,3/26/2018,4/11/2018,5/15/2018,8/26/2018,53,206,34,103
154,Book,3/7/2018,4/19/2018,5/23/2018,6/17/2018,6/17/2018,43,102,25,0
155,Digital Service,3/22/2018,6/30/2018,6/12/2018,7/2/2018,7/4/2018,100,104,20,2
156,BBFF,4/15/2018,4/21/2018,7/24/2018,7/26/2018,7/26/2018,6,102,2,0
157,BBFF,4/16/2018,4/20/2018,7/6/2018,7/27/2018,8/11/2018,4,117,21,15
158,BBFF,5/18/2018,8/20/2018,6/29/2018,8/28/2018,9/2/2018,94,107,60,5
159,Electronic,6/2/2018,6/6/2018,9/10/2018,9/12/2018,9/12/2018,4,102,2,0
160,BBFF,6/29/2018,8/24/2018,10/4/2018,10/9/2018,10/16/2018,56,109,5,7
161,Digital Service,4/27/2018,5/18/2018,8/3/2018,8/6/2018,8/15/2018,21,110,3,9
162,LifeStyle,1/29/2018,3/21/2018,4/5/2018,5/9/2018,5/16/2018,51,107,34,7
163,BBFF,2/1/2018,4/23/2018,5/4/2018,5/12/2018,5/13/2018,81,101,8,1
164,BBFF,3/23/2018,4/17/2018,6/28/2018,7/1/2018,7/11/2018,25,110,3,10
165,BBFF,3/24/2018,4/11/2018,6/10/2018,7/2/2018,7/7/2018,18,105,22,5
166,BBFF,1/25/2018,4/12/2018,5/3/2018,5/4/2018,5/7/2018,77,102,1,3
167,Electronic,2/7/2018,3/2/2018,3/3/2018,5/17/2018,8/11/2018,23,185,75,86
168,BBFF,3/7/2018,3/27/2018,4/10/2018,6/14/2018,6/14/2018,20,99,65,0
169,BBFF,3/27/2018,3/28/2018,4/2/2018,7/4/2018,7/5/2018,1,100,93,1
170,Digital Service,3/28/2018,6/22/2018,7/4/2018,7/5/2018,7/31/2018,86,125,1,26
171,BBFF,4/11/2018,4/13/2018,6/22/2018,7/19/2018,7/21/2018,2,101,27,2
172,LifeStyle,2/2/2018,4/27/2018,5/9/2018,5/11/2018,5/14/2018,84,101,2,3
173,Electronic,3/26/2018,3/29/2018,7/1/2018,7/2/2018,7/3/2018,3,99,1,1
174,LifeStyle,2/2/2018,3/2/2018,5/8/2018,5/9/2018,5/10/2018,28,97,1,1
175,LifeStyle,3/23/2018,3/28/2018,6/11/2018,6/27/2018,6/27/2018,5,96,16,0
176,BBFF,4/17/2018,6/27/2018,7/19/2018,7/22/2018,7/20/2018,71,94,3,-2
177,BBFF,4/17/2018,4/19/2018,7/21/2018,7/22/2018,8/9/2018,2,114,1,18
178,BBFF,4/3/2018,5/4/2018,7/6/2018,7/7/2018,7/7/2018,31,95,1,0
179,BBFF,4/13/2018,6/7/2018,7/17/2018,7/17/2018,8/8/2018,55,117,0,22
180,BBFF,4/6/2018,4/19/2018,6/29/2018,7/9/2018,7/10/2018,13,95,10,1
